raw_sector,source,mapped_sector,sector_code
aaa,mc,,
aadharhousing,mc,,
aadiindustries,mc,,
aafsgnfgbdfbef,mc,,
aanandalakshmi,mc,,
aapadpdp,mc,,
aaronindustrie,mc,,
aartechsolonic,mc,,
aartisurfactan,mc,,
aastafin,mc,,
aayushart,mc,,
aayushwellness,mc,,
abacacvlknalb,mc,,
abakkusinvman,mc,,
abansfinancial,mc,,
abateasind,mc,,
abcorp,mc,,
abesc,mc,,
abhinandan,mc,,
abhinavcapital,mc,,
abhishekfinle,mc,,
abhishekintegr,mc,,
abinre1,mc,,
abnintercorp,mc,,
absllifegold,mc,,
abslliqetf,mc,,
abslmscietf,mc,,
abslnifty200,mc,,
abslnifty50,mc,,
abslniftybank,mc,,
abslniftyheal,mc,,
abslniftyit,mc,,
abslniftynext,mc,,
abslpseetf,mc,,
abslqual30,mc,,
abslsiletf,mc,,
absltop10bk,mc,,
absmarine,mc,,
accordtransfor,mc,,
accretionnutra,mc,,
aceeng,mc,,
acetechecom,mc,,
acgl,mc,,
achyuthealth,mc,,
acjlascadbsvdj,mc,,
acmasnvadndcnd,mc,,
acstechnologie,mc,,
acutaaschem,mc,,
adanienpp1,mc,,
adanitotalgas,mc,,
adarshplant,mc,,
adconcapital,mc,,
addictivelearn,mc,,
addshoperetai,mc,,
adhataglobal,mc,,
adhbhutinfra,mc,,
adhirajdistrib,mc,,
adityabirlare,mc,,
adlinechemlab,mc,,
adncadpinc,mc,,
advaitenergy,mc,,
advancepetro,mc,,
aeonxdigi,mc,,
aeroflexneu,mc,,
aerpaceind,mc,,
aerpacere,mc,,
afelre,mc,,
affle3i,mc,,
agarwalfortune,mc,,
aggarsainspinn,mc,,
agigreenpac,mc,,
agolre,mc,,
agribiospirits,mc,,
ahladaengineer,mc,,
aikpipes,mc,,
airan,mc,,
airlines,mc,,
ajaxeng,mc,,
ajbcjsbclvnsdj,mc,,
ajoonire1,mc,,
ajwafunworld,mc,,
akcbadcv,mc,,
akgexim,mc,,
akiindia,mc,,
alanre,mc,,
alanscottent,mc,,
alchemistcorp,mc,,
alcokraftdisti,mc,,
algoquantfin,mc,,
alivuslife,mc,,
allcargogati,mc,,
alldigitech,mc,,
alpexsolar,mc,,
alphaetf,mc,,
alphalogictech,mc,,
alstonetext,mc,,
altiustelecom,mc,,
aluwindinfra,mc,,
amagimedialab,mc,,
amalre,mc,,
amanayaventure,mc,,
ambaniorgochem,mc,,
ambicaagar,mc,,
amerisebio,mc,,
ampvolts,mc,,
amraworld,mc,,
amwillhealth,mc,,
anantraj,mc,,
ancsocoon,mc,,
andhrsugar,mc,,
andjdvbcsdjncn,mc,,
angelliquid,mc,,
angelnifty,mc,,
angelniftytm,mc,,
angelone,mc,,
angeloneamc,mc,,
angelsilver,mc,,
aniritventures,mc,,
anjanifoods,mc,,
anjaniportland,mc,,
ansindustries,mc,,
antonywaste,mc,,
anupeng,mc,,
anurooppackag,mc,,
anuroopre,mc,,
anxjljldadj,mc,,
anzenindiaene,mc,,
apeejaypark,mc,,
apisindia,mc,,
apollomicrosy,mc,,
apollosindoori,mc,,
apsindia,mc,,
aptpackagings,mc,,
arcfinre,mc,,
archidplydecor,mc,,
arclorganics,mc,,
arigatounivers,mc,,
arihantavenues,mc,,
aritasvinyl,mc,,
armanholdings,mc,,
armoursecurity,mc,,
artificialelec,mc,,
arunahotelsre,mc,,
arunisre,mc,,
arunisre1,mc,,
arveelab,mc,,
arvindfashpp,mc,,
arvindfasre,mc,,
arvindport,mc,,
ascaps,mc,,
ascomleasing,mc,,
asdkjbckdb,mc,,
asgardalcobev,mc,,
ashnire,mc,,
ashnishaind,mc,,
ashnoorre,mc,,
ashokarefinery,mc,,
asian,mc,,
asianpetro,mc,,
aspirapathlab,mc,,
assam,mc,,
astallab,mc,,
astramicrowave,mc,,
atlantaa,mc,,
atmastco,mc,,
atnint,mc,,
aureatetradde,mc,,
aurigrowindia,mc,,
aurumproptech,mc,,
authuminvest,mc,,
authuminvre,mc,,
autoancillariesbearings,mc,,
autoancillariesengineparts,mc,,
autoancillariesgears,mc,,
autoancillary,mc,,
autofurnish,mc,,
automobilepassengercars,mc,,
automobiletractors,mc,,
availablefinan,mc,,
avanaelectrosy,mc,,
avasarafinance,mc,,
avatarind,mc,,
aveerfoods,mc,,
aventusbuildco,mc,,
avenuesai,mc,,
avipolymers,mc,,
avipolymersre,mc,,
avishkarinfra,mc,,
avroindia,mc,,
avslindustries,mc,,
awfisspacesol,mc,,
awlagri,mc,,
axisamc,mc,,
axisbsesensex,mc,,
axisgoldetf,mc,,
axisnifty50,mc,,
axisniftybank,mc,,
axisniftycons,mc,,
axisniftyheal,mc,,
axisniftysdl,mc,,
axisniitetf,mc,,
axissilveretf,mc,,
ayefinance,mc,,
azadindiamobi,mc,,
aztecfluids,mc,,
babafoodproce,mc,,
bajajfinance,mc,,
bajajfinserva,mc,,
bajajniftybetf,mc,,
balco,mc,,
balgopalcommer,mc,,
balmlawrie,mc,,
bandhanamc,mc,,
bandhansilver,mc,,
bankbetf,mc,,
bankex,mc,,
bapackaging,mc,,
barb,mc,,
barodabnppari,mc,,
bazelinternati,mc,,
bbapr32etf,mc,,
bbapr33etf,mc,,
bbnpnbetf,mc,,
bbtriplewall,mc,,
bcabcuaabvalca,mc,,
bclindustries,mc,,
bdrbuildcon,mc,,
bestagrolife,mc,,
bflassetfinve,mc,,
bhandare2,mc,,
bharat22etf,mc,,
bharatcoking,mc,,
bharatdynamics,mc,,
bharatelec,mc,,
bharatparenter,mc,,
bheemacements,mc,,
bhudeviinfra,mc,,
bigblocconstru,mc,,
bil,mc,,
bilvyapar,mc,,
binayakatex,mc,,
biomedicalab,mc,,
biopolchemical,mc,,
biotechnologymedicalresearch,mc,,
birlatyres,mc,,
blackbuck,mc,,
blkashyap,mc,,
bluecloud,mc,,
bluegodent,mc,,
bluepearlagri,mc,,
blugodre,mc,,
bnrathi,mc,,
bodhitreemult,mc,,
bombaytalkies,mc,,
bomdyeing,mc,,
bonlonindustri,mc,,
brainbeessolu,mc,,
brandconcepts,mc,,
brandmanretail,mc,,
brightsolar,mc,,
brisktech,mc,,
bse100bvra,mc,,
bse100pera,mc,,
bse100yield,mc,,
bse200,mc,,
bse200bvra,mc,,
bse200pera,mc,,
bse200yield,mc,,
bse30bvra,mc,,
bse30pera,mc,,
bse30yield,mc,,
bse500,mc,,
bsecapgoods,mc,,
bseconsumerdu,mc,,
bsedollex,mc,,
bsedollex30,mc,,
bsefmcgsector,mc,,
bsehealthcare,mc,,
bseitsector,mc,,
bselalgo,mc,,
bsenational,mc,,
bsepsu,mc,,
bsesensex,mc,,
bslsenetfg,mc,,
cams,mc,,
candourtechtex,mc,,
canopy,mc,,
capaciteinfra,mc,,
capitalmindam,mc,,
capitalsfb,mc,,
caprire,mc,,
carysil,mc,,
caspian,mc,,
castoraagri,mc,,
ceenikexports,mc,,
ceetaindustrie,mc,,
cellecor,mc,,
centupleglobal,mc,,
cgflre,mc,,
chandanhealthc,mc,,
chandrabhagat,mc,,
chandrimamerca,mc,,
chembondmateri,mc,,
chemiesynthva,mc,,
chetanaedu,mc,,
choiceamc,mc,,
cholainvest,mc,,
cieindia,mc,,
cindrellafin,mc,,
citygoldcredi,mc,,
citypulse,mc,,
ckkretail,mc,,
classicfilamen,mc,,
classicleasing,mc,,
cleanmaxenvir,mc,,
cochinshipyard,mc,,
cohancelife,mc,,
command,mc,,
compressorspumps,mc,,
concordbiotech,mc,,
consecutivecom,mc,,
consumer,mc,,
containerway,mc,,
containerwayin,mc,,
continentalsec,mc,,
continentchem,mc,,
coralnewsprint,mc,,
coronaremedies,mc,,
cospower,mc,,
